Temperature	Conductivity	Date	Time
313574	 5963.805	19 Nov 2024	23:22:40
313794	 5963.816	19 Nov 2024	23:22:42
313613	 5963.824	19 Nov 2024	23:22:45
313657	 5963.840	19 Nov 2024	23:22:47
313525	 5963.840	19 Nov 2024	23:22:49
313638	 5963.840	19 Nov 2024	23:22:51
313687	 5963.852	19 Nov 2024	23:22:53
313641	 5963.856	19 Nov 2024	23:22:55
313633	 5963.856	19 Nov 2024	23:22:57
313589	 5963.867	19 Nov 2024	23:22:59
313645	 5963.883	19 Nov 2024	23:23:01
313512	 5963.902	19 Nov 2024	23:23:03
313548	 5963.922	19 Nov 2024	23:23:05
313597	 5963.949	19 Nov 2024	23:23:07
313649	 5963.980	19 Nov 2024	23:23:09
313727	 5963.996	19 Nov 2024	23:23:11
313757	 5963.988	19 Nov 2024	23:23:13
313796	 5963.965	19 Nov 2024	23:23:15
313707	 5963.902	19 Nov 2024	23:23:17
313723	 5963.856	19 Nov 2024	23:23:19
313746	 5963.832	19 Nov 2024	23:23:21
313641	 5963.801	19 Nov 2024	23:23:23
313635	 5963.774	19 Nov 2024	23:23:25
313613	 5963.770	19 Nov 2024	23:23:27
313653	 5963.758	19 Nov 2024	23:23:29
313750	 5963.766	19 Nov 2024	23:23:31
313745	 5963.723	19 Nov 2024	23:23:33
313794	 5963.715	19 Nov 2024	23:23:35
313644	 5963.707	19 Nov 2024	23:23:37
313724	 5963.699	19 Nov 2024	23:23:39
313647	 5963.711	19 Nov 2024	23:23:41
313751	 5963.719	19 Nov 2024	23:23:43
313723	 5963.703	19 Nov 2024	23:23:46
313685	 5963.699	19 Nov 2024	23:23:48
313651	 5963.711	19 Nov 2024	23:23:50
313665	 5963.719	19 Nov 2024	23:23:52
313594	 5963.715	19 Nov 2024	23:23:54
313731	 5963.703	19 Nov 2024	23:23:56
313682	 5963.703	19 Nov 2024	23:23:58
313722	 5963.688	19 Nov 2024	23:24:00
313680	 5963.676	19 Nov 2024	23:24:02
313741	 5963.668	19 Nov 2024	23:24:04
313760	 5963.660	19 Nov 2024	23:24:06
313549	 5963.656	19 Nov 2024	23:24:08
313542	 5963.692	19 Nov 2024	23:24:10
313607	 5963.734	19 Nov 2024	23:24:12
313678	 5963.762	19 Nov 2024	23:24:14
313655	 5963.770	19 Nov 2024	23:24:16
313601	 5963.777	19 Nov 2024	23:24:18
313439	 5963.801	19 Nov 2024	23:24:20
313634	 5963.808	19 Nov 2024	23:24:22
313637	 5963.774	19 Nov 2024	23:24:24
313625	 5963.762	19 Nov 2024	23:24:26
313608	 5963.801	19 Nov 2024	23:24:28
313638	 5963.824	19 Nov 2024	23:24:30
313602	 5963.824	19 Nov 2024	23:24:32
313615	 5963.832	19 Nov 2024	23:24:34
313612	 5963.859	19 Nov 2024	23:24:36
313642	 5963.859	19 Nov 2024	23:24:38
313628	 5963.856	19 Nov 2024	23:24:40
313633	 5963.863	19 Nov 2024	23:24:42
313607	 5963.879	19 Nov 2024	23:24:44
313521	 5963.891	19 Nov 2024	23:24:47
313551	 5963.902	19 Nov 2024	23:24:49
313571	 5963.914	19 Nov 2024	23:24:51
313532	 5963.922	19 Nov 2024	23:24:53
313555	 5963.945	19 Nov 2024	23:24:55
313648	 5963.965	19 Nov 2024	23:24:57
313633	 5963.961	19 Nov 2024	23:24:59
312922	 5963.926	19 Nov 2024	23:25:01
313830	 5963.914	19 Nov 2024	23:25:03
313621	 5963.910	19 Nov 2024	23:25:05
313579	 5963.926	19 Nov 2024	23:25:07
313555	 5963.949	19 Nov 2024	23:25:09
313542	 5963.973	19 Nov 2024	23:25:11
313552	 5963.992	19 Nov 2024	23:25:13
313638	 5964.027	19 Nov 2024	23:25:15
313558	 5964.031	19 Nov 2024	23:25:17
313513	 5964.031	19 Nov 2024	23:25:19
313536	 5964.051	19 Nov 2024	23:25:21
